Prop_ID,Name,Address,DogRuns_Type,Borough,Notes
M099,J. Hood Wright Park Dog Run,"J, Hood Wright Park, New York, NY 10033",Run,N,
M052,Madison Square Park Dog Run,Madison Avenue to 5th Avenue between East 23rd Street & East 26th Street,Run,N,
M058,Marcus Garvey Park Dog Run,Madison Avenue and East 120th Street,Run,N,
M056,Morningside Park Dog Run,Morningside Avenue between 114th and 119th streets,Run,N,
M108N,Peter Detmold Park Dog Run,"West of FDR Drive, between East 49th & East 51st streets",Run,N,
M104,Randalls Island Park Off-Leash Area,"20 Randalls Island Park, New York, NY 10035",Off-Leash,N,Off-leash hours for the island are before 9:00 a.m. and after 9:00 p.m.
M071,Riverside Park Dog Run (3 runs),"Riverside Drive at West 72nd, West 87th, West 105th",Run,N,"<a href=""http://nycgovparks.org/sub_your_park/vt_riverside_park/images/dog_owners_guide_riverside_park.pdf"">Dog Owners' Guide to Riverside Park </a>"
M158,Robert Moses Park Dog Run,"East 42nd Street and, 1st Avenue, New York, NY 10016",Run,N,
M077,St. Nicholas Park Dog Run,"St Nicholas Avenue to St. Nicholas Terrace, West 128th to West 141 streets",Run,N,
M053,Theodore Roosevelt Park Dog Run,Central Park West at West 81st Street,Run,N,
M047,Thomas Jefferson Park Dog Run,East 112th Street and FDR Drive,Run,N,
M088,Tompkins Square Park Dog Run,"1st Avenue to Avenue B, from East 7th to East 10th streets",Run,Y,
M089,Union Square Dog Run,"201 Park Ave S, New York, NY 10003",Run,N,
M098,Washington Square Park Dog Run,"5th Avenue, Waverly Place, West 4th Street, between McDougal & Thompson streets, south side of the park (behind building)",Run,N,
Q001,Alley Pond Park Off-Leash Area,Grand Central Parkway/Winchester Boulevard/Kingsbury Avenue,Off-Leash,N,
Q005,Baisley Pond Park Off-Leash Area,"Baisley Blvd, Jamaica, NY 11434",Off-Leash,N,
Q005,Baisley Pond Park Off-Leash Area,Lakeview Lane between Foch Boulevard and Lakeview Lane East,Off-Leash,N,
Q021,Cunningham Park Dog Run,193rd Street between Aberdeen Road & Radnor Road,Run,N,
Q015,Forest Park Off-Leash Area,85 Street and 84 Street and Park Lane South,Off-Leash,N,
Q015,Forest Park Dog Run,Park Lane South & 85th Street ,Run,N,
Q393D,Landing Lights Off-Leash Area,"Grand Central Parkway, 81 Street & 82 Street & Astoria Boulevard, 23 Avenue 84, 24 thru 30 Avenues, 77 Street through 81 Street",Off-Leash,N,
